country,assessments
Afghanistan,0.0070
Albania,0.0080
Algeria,0.1380
Andorra,0.0050
Angola,0.0100
Antigua and Barbuda,0.0020
Argentina,0.9151
Armenia,0.0070
Australia,2.2101
Austria,0.6770
Azerbaijan,0.0490
Bahamas,0.0180
Bahrain,0.0500
Bangladesh,0.0100
Barbados,0.0070
Belarus,0.0490
Belgium,0.8211
Belize,0.0010
Benin,0.0030
Bhutan,0.0010
Bolivia (Plurinational State of),0.0160
Bosnia and Herzegovina,0.0120
Botswana,0.0140
Brazil,2.9482
Brunei Darussalam,0.0250
Bulgaria,0.0460
Burkina Faso,0.0030
Burundi,0.0010
Cabo Verde,0.0010
Cambodia,0.0060
Cameroon,0.0130
Canada,2.7342
Central African Republic,0.0010
Chad,0.0040
Chile,0.4070
China,12.0058
Colombia,0.2880
Comoros,0.0010
Congo,0.0060
Cook Islands (not a member of the,
United Nations),0.0010
Costa Rica,0.0620
Côte d’Ivoire,0.0130
Croatia,0.0770
Cuba,0.0800
Cyprus,0.0360
Czech Republic,0.3110
Democratic People’s Republic of,
Korea,0.0060
Democratic Republic of the Congo,0.0100
Denmark,0.5540
Djibouti,0.0010
Dominica,0.0010
Dominican Republic,0.0530
Ecuador,0.0800
Egypt,0.1860
El Salvador,0.0120
Equatorial Guinea,0.0160
Eritrea,0.0010
Estonia,0.0390
Eswatini,0.0020
Ethiopia,0.0100
Fiji,0.0030
Finland,0.4210
France,4.4273
Gabon,0.0150
Gambia,0.0010
Georgia,0.0080
Germany,6.0904
Ghana,0.0150
Greece,0.3660
Grenada,0.0010
Guatemala,0.0360
Guinea,0.0030
Guinea-Bissau,0.0010
Guyana,0.0020
Haiti,0.0030
Honduras,0.0090
Hungary,0.2060
Iceland,0.0280
India,0.8341
Indonesia,0.5430
Iran (Islamic Republic of),0.3980
Iraq,0.1290
Ireland,0.3710
Israel,0.4900
Italy,3.3072
Jamaica,0.0080
Japan,8.5645
Jordan,0.0210
Kazakhstan,0.1780
Kenya,0.0240
Kiribati,0.0010
Kuwait,0.2520
Kyrgyzstan,0.0020
Lao People’s Democratic Republic,0.0050
Latvia,0.0470
Lebanon,0.0470
Lesotho,0.0010
Liberia,0.0010
Libya,0.0300
Lithuania,0.0710
Luxembourg,0.0670
Madagascar,0.0040
Malawi,0.0020
Malaysia,0.3410
Maldives,0.0040
Mali,0.0040
Malta,0.0170
Marshall Islands,0.0010
Mauritania,0.0020
Mauritius,0.0110
Mexico,1.2921
Micronesia (Federated States of),0.0010
Monaco,0.0110
Mongolia,0.0050
Montenegro,0.0040
Morocco,0.0550
Mozambique,0.0040
Myanmar,0.0100
Namibia,0.0090
Nauru,0.0010
Nepal,0.0070
Netherlands,1.3561
New Zealand,0.2910
Nicaragua,0.0050
Niger,0.0020
Nigeria,0.2500
Niue (not a member of the United,
Nations),0.0010
North Macedonia,0.0070
Norway,0.7540
Oman,0.1150
Pakistan,0.1150
Palau,0.0010
Panama,0.0450
Papua New Guinea,0.0100
Paraguay,0.0160
Peru,0.1520
Philippines,0.2050
Poland,0.8021
Portugal,0.3500
Puerto Rico (not a member of the,
United Nations),0.0010
Qatar,0.2820
Republic of Korea,2.2671
Republic of Moldova,0.0030
Romania,0.1980
Russian Federation,2.4052
Rwanda,0.0030
Saint Kitts and Nevis,0.0010
Saint Lucia,0.0010
Saint Vincent and the Grenadines,0.0010
Samoa,0.0010
San Marino,0.0020
Sao Tome and Principe,0.0010
Saudi Arabia,1.1721
Senegal,0.0070
Serbia,0.0280
Seychelles,0.0020
Sierra Leone,0.0010
Singapore,0.4850
Slovakia,0.1530
Slovenia,0.0760
Solomon Islands,0.0010
Somalia,0.0010
South Africa,0.2720
South Sudan,0.0060
Spain,2.1461
Sri Lanka,0.0440
Sudan,0.0100
Suriname,0.0050
Sweden,0.9061
Switzerland,1.1511
Syrian Arab Republic,0.0110
Tajikistan,0.0040
Thailand,0.3070
Timor-Leste,0.0020
Togo,0.0020
Tokelau (not a member of the United,
Nations),0.0010
Tonga,0.0010
Trinidad and Tobago,0.0400
Tunisia,0.0250
Turkey,1.3711
Turkmenistan,0.0330
Tuvalu,0.0010
Uganda,0.0080
Ukraine,0.0570
United Arab Emirates,0.6160
United Kingdom of Great Britain and,
Northern Ireland,4.5673
United Republic of Tanzania,0.0100
United States of America,22.0000
Uruguay,0.0870
Uzbekistan,0.0320
Vanuatu,0.0010
Venezuela (Bolivarian Republic of),0.7280
Viet Nam,0.0770
Yemen,0.0100
WHA74.13,
Zambia,0.0090
Zimbabwe,0.0050
TOTAL,100.000
6,
